Datacode,Rectype,plot,heat,precip,subject,rep
CEE01,1,101,4,1,1,1
CEE01,1,102,2,1,2,1
CEE01,1,103,1,1,3,1
CEE01,1,104,3,1,4,1
CEE01,1,105,4,1,5,1
CEE01,1,106,1,1,6,1
CEE01,1,107,3,1,7,1
CEE01,1,108,2,1,8,1
CEE01,1,109,4,1,9,1
CEE01,1,110,1,1,10,1
CEE01,1,201,3,2,11,2
CEE01,1,202,4,2,12,2
CEE01,1,203,2,2,13,2
CEE01,1,204,3,2,14,2
CEE01,1,205,4,2,15,2
CEE01,1,206,1,2,16,2
CEE01,1,207,2,2,17,2
CEE01,1,208,3,2,18,2
CEE01,1,209,1,2,19,2
CEE01,1,210,2,2,20,2
CEE01,1,301,2,1,21,3
CEE01,1,302,3,1,22,3
CEE01,1,303,4,1,23,3
CEE01,1,304,2,1,24,3
CEE01,1,305,3,1,25,3
CEE01,1,306,1,1,26,3
CEE01,1,307,2,1,27,3
CEE01,1,308,3,1,28,3
CEE01,1,309,4,1,29,3
CEE01,1,310,1,1,30,3
CEE01,1,401,1,2,31,4
CEE01,1,402,3,2,32,4
CEE01,1,403,4,2,33,4
CEE01,1,404,2,2,34,4
CEE01,1,405,1,2,35,4
CEE01,1,406,4,2,36,4
CEE01,1,407,2,2,37,4
CEE01,1,408,1,2,38,4
CEE01,1,409,4,2,39,4
CEE01,1,410,3,2,40,4
