Datacode,Rectype,Year,Plot,Spnum2,Cover
CEE01,2,2010,101,s212,0
CEE01,2,2010,101,s211,0
CEE01,2,2010,101,s46,6
CEE01,2,2010,101,s40,0
CEE01,2,2010,101,s462,0
CEE01,2,2010,101,s2,100
CEE01,2,2010,101,s50,0
CEE01,2,2010,101,s52,0
CEE01,2,2010,101,s54,0
CEE01,2,2010,101,s265,0
CEE01,2,2010,101,s161,0
CEE01,2,2010,101,s55,0
CEE01,2,2010,101,s56,0
CEE01,2,2010,101,s58,0
CEE01,2,2010,101,s4,0
CEE01,2,2010,101,s31,0
CEE01,2,2010,101,s32,0
CEE01,2,2010,101,s33,0
CEE01,2,2010,101,s34,0
CEE01,2,2010,101,s166,0
CEE01,2,2010,101,s407,0
CEE01,2,2010,101,s71,0
CEE01,2,2010,101,s164,0
CEE01,2,2010,101,s106,0
CEE01,2,2010,101,s145,0
CEE01,2,2010,101,s16,0
CEE01,2,2010,101,s14,0
CEE01,2,2010,101,s11,0
CEE01,2,2010,101,s78,0
CEE01,2,2010,101,s300,0
CEE01,2,2010,101,s216,0
CEE01,2,2010,101,s250,0
CEE01,2,2010,101,s500,0
CEE01,2,2010,101,s293,0
CEE01,2,2010,101,s86,1
CEE01,2,2010,101,s87,0
CEE01,2,2010,101,s90,0
CEE01,2,2010,101,s92,1
CEE01,2,2010,101,s253,0
CEE01,2,2010,101,s255,1
CEE01,2,2010,101,s102,0
CEE01,2,2010,101,s15,18
CEE01,2,2010,101,s601,0
CEE01,2,2010,101,s194,0
CEE01,2,2010,101,s385,16
CEE01,2,2010,101,s111,0
CEE01,2,2010,101,s338,0
CEE01,2,2010,101,s17,0
CEE01,2,2010,101,s234,0
CEE01,2,2010,101,s42,0
CEE01,2,2010,101,s120,0
CEE01,2,2010,101,s121,0
CEE01,2,2010,101,s3,1
CEE01,2,2010,101,s122,0
CEE01,2,2010,101,s201,0
CEE01,2,2010,101,s275,0
CEE01,2,2010,101,s125,2
CEE01,2,2010,101,s127,50
CEE01,2,2010,101,s128,0
CEE01,2,2010,101,s130,0
CEE01,2,2010,101,s18,20
CEE01,2,2010,101,s21,2
CEE01,2,2010,101,s43,0
CEE01,2,2010,101,s180,0
CEE01,2,2010,101,s284,0
CEE01,2,2010,101,s189,0
CEE01,2,2010,101,s158,0
CEE01,2,2010,101,s140,0
CEE01,2,2010,102,s212,0
CEE01,2,2010,102,s211,0
CEE01,2,2010,102,s46,13
CEE01,2,2010,102,s40,0
CEE01,2,2010,102,s462,0
CEE01,2,2010,102,s2,100
CEE01,2,2010,102,s50,0
CEE01,2,2010,102,s52,0
CEE01,2,2010,102,s54,0
CEE01,2,2010,102,s265,0
CEE01,2,2010,102,s161,0
CEE01,2,2010,102,s55,0
CEE01,2,2010,102,s56,0
CEE01,2,2010,102,s58,0
CEE01,2,2010,102,s4,0
CEE01,2,2010,102,s31,0
CEE01,2,2010,102,s32,0
CEE01,2,2010,102,s33,0
CEE01,2,2010,102,s34,0
CEE01,2,2010,102,s166,0
CEE01,2,2010,102,s407,0
CEE01,2,2010,102,s71,0
CEE01,2,2010,102,s164,0
CEE01,2,2010,102,s106,0
CEE01,2,2010,102,s145,0
CEE01,2,2010,102,s16,0
CEE01,2,2010,102,s14,2
CEE01,2,2010,102,s11,0
CEE01,2,2010,102,s78,0
CEE01,2,2010,102,s300,1
CEE01,2,2010,102,s216,0
CEE01,2,2010,102,s250,0
CEE01,2,2010,102,s500,0
CEE01,2,2010,102,s293,0
CEE01,2,2010,102,s86,0
CEE01,2,2010,102,s87,0
CEE01,2,2010,102,s90,0
CEE01,2,2010,102,s92,1
CEE01,2,2010,102,s253,0
CEE01,2,2010,102,s255,1
CEE01,2,2010,102,s102,0
CEE01,2,2010,102,s15,0
CEE01,2,2010,102,s601,0
CEE01,2,2010,102,s194,0
CEE01,2,2010,102,s385,4
CEE01,2,2010,102,s111,0
CEE01,2,2010,102,s338,0
CEE01,2,2010,102,s17,0
CEE01,2,2010,102,s234,0
CEE01,2,2010,102,s42,0
CEE01,2,2010,102,s120,0
CEE01,2,2010,102,s121,0
CEE01,2,2010,102,s3,0
CEE01,2,2010,102,s122,0
CEE01,2,2010,102,s201,1
CEE01,2,2010,102,s275,0
CEE01,2,2010,102,s125,0
CEE01,2,2010,102,s127,45
CEE01,2,2010,102,s128,0
CEE01,2,2010,102,s130,0
CEE01,2,2010,102,s18,25
CEE01,2,2010,102,s21,0
CEE01,2,2010,102,s43,0
CEE01,2,2010,102,s180,0
CEE01,2,2010,102,s284,0
CEE01,2,2010,102,s189,0
CEE01,2,2010,102,s158,0
CEE01,2,2010,102,s140,0
CEE01,2,2010,103,s212,0
CEE01,2,2010,103,s211,0
CEE01,2,2010,103,s46,8
CEE01,2,2010,103,s40,0
CEE01,2,2010,103,s462,0
CEE01,2,2010,103,s2,95
CEE01,2,2010,103,s50,0
CEE01,2,2010,103,s52,0
CEE01,2,2010,103,s54,0
CEE01,2,2010,103,s265,0
CEE01,2,2010,103,s161,1
CEE01,2,2010,103,s55,1
CEE01,2,2010,103,s56,0
CEE01,2,2010,103,s58,0
CEE01,2,2010,103,s4,0
CEE01,2,2010,103,s31,0
CEE01,2,2010,103,s32,0
CEE01,2,2010,103,s33,0
CEE01,2,2010,103,s34,2
CEE01,2,2010,103,s166,0
CEE01,2,2010,103,s407,0
CEE01,2,2010,103,s71,0
CEE01,2,2010,103,s164,0
CEE01,2,2010,103,s106,0
CEE01,2,2010,103,s145,0
CEE01,2,2010,103,s16,0
CEE01,2,2010,103,s14,1
CEE01,2,2010,103,s11,0
CEE01,2,2010,103,s78,0
CEE01,2,2010,103,s300,0
CEE01,2,2010,103,s216,0
CEE01,2,2010,103,s250,0
CEE01,2,2010,103,s500,0
CEE01,2,2010,103,s293,0
CEE01,2,2010,103,s86,0
CEE01,2,2010,103,s87,0
CEE01,2,2010,103,s90,0
CEE01,2,2010,103,s92,1
CEE01,2,2010,103,s253,0
CEE01,2,2010,103,s255,0
CEE01,2,2010,103,s102,1
CEE01,2,2010,103,s15,0
CEE01,2,2010,103,s601,0
CEE01,2,2010,103,s194,0
CEE01,2,2010,103,s385,1
CEE01,2,2010,103,s111,0
CEE01,2,2010,103,s338,0
CEE01,2,2010,103,s17,0
CEE01,2,2010,103,s234,0
CEE01,2,2010,103,s42,0
CEE01,2,2010,103,s120,0
CEE01,2,2010,103,s121,0
CEE01,2,2010,103,s3,0
CEE01,2,2010,103,s122,0
CEE01,2,2010,103,s201,0
CEE01,2,2010,103,s275,0
CEE01,2,2010,103,s125,0
CEE01,2,2010,103,s127,70
CEE01,2,2010,103,s128,0
CEE01,2,2010,103,s130,0
CEE01,2,2010,103,s18,20
CEE01,2,2010,103,s21,0
CEE01,2,2010,103,s43,0
CEE01,2,2010,103,s180,0
CEE01,2,2010,103,s284,0
CEE01,2,2010,103,s189,0
CEE01,2,2010,103,s158,0
CEE01,2,2010,103,s140,0
CEE01,2,2010,104,s212,0
CEE01,2,2010,104,s211,0
CEE01,2,2010,104,s46,1
CEE01,2,2010,104,s40,0
CEE01,2,2010,104,s462,0
CEE01,2,2010,104,s2,70
CEE01,2,2010,104,s50,0
CEE01,2,2010,104,s52,0
CEE01,2,2010,104,s54,0
CEE01,2,2010,104,s265,0
CEE01,2,2010,104,s161,6
CEE01,2,2010,104,s55,0
CEE01,2,2010,104,s56,0
CEE01,2,2010,104,s58,0
CEE01,2,2010,104,s4,0
CEE01,2,2010,104,s31,0
CEE01,2,2010,104,s32,0
CEE01,2,2010,104,s33,0
CEE01,2,2010,104,s34,0
CEE01,2,2010,104,s166,0
CEE01,2,2010,104,s407,0
CEE01,2,2010,104,s71,0
CEE01,2,2010,104,s164,0
CEE01,2,2010,104,s106,0
CEE01,2,2010,104,s145,0
CEE01,2,2010,104,s16,0
CEE01,2,2010,104,s14,0
CEE01,2,2010,104,s11,0
CEE01,2,2010,104,s78,0
CEE01,2,2010,104,s300,0
CEE01,2,2010,104,s216,0
CEE01,2,2010,104,s250,0
CEE01,2,2010,104,s500,0
CEE01,2,2010,104,s293,0
CEE01,2,2010,104,s86,0
CEE01,2,2010,104,s87,0
CEE01,2,2010,104,s90,0
CEE01,2,2010,104,s92,0
CEE01,2,2010,104,s253,0
CEE01,2,2010,104,s255,1
