Datacode,Rectype,Season,Year,Plot,Sample,AndroL,AndroD,AndroT,SorgL,SorgD,SorgT,SolidagoL,SolidgoD,SolidagoT,GrassL,GrassD,GrassT,ForbL,ForbD,ForbT,WoodL,WoodD,WoodT,Total
CEE01,3,early,2011,101,1,65,0,65,4,0,4,7,0,7,5,0,5,5,1,6,0,0,0,87
CEE01,3,early,2011,102,2,92,0,92,16,0,16,8,0,8,1,0,1,5,1,6,0,0,0,123
CEE01,3,early,2011,103,3,77,4,81,0,0,0,11,0,11,1,0,1,1,0,1,0,0,0,94
CEE01,3,early,2011,104,4,7,0,7,11,1,12,16,0,16,3,0,3,0,0,0,0,0,0,38
CEE01,3,early,2011,105,5,17,0,17,7,0,7,8,1,9,0,0,0,0,0,0,0,0,0,33
CEE01,3,early,2011,106,6,13,0,13,24,0,24,15,0,15,4,0,4,3,0,3,0,0,0,59
CEE01,3,early,2011,107,7,35,1,36,9,1,10,10,0,10,0,0,0,0,0,0,0,0,0,56
CEE01,3,early,2011,108,8,45,5,50,39,0,39,12,0,12,5,0,5,3,0,3,0,0,0,109
CEE01,3,early,2011,109,9,28,0,28,20,0,20,4,0,4,17,0,17,8,0,8,0,0,0,77
CEE01,3,early,2011,110,10,13,0,13,28,0,28,10,0,10,26,0,26,5,0,5,0,0,0,82
CEE01,3,early,2011,201,11,81,3,84,30,0,30,1,0,1,21,0,21,0,0,0,0,0,0,136
CEE01,3,early,2011,202,12,86,0,86,25,0,25,3,0,3,4,0,4,1,0,1,0,0,0,119
CEE01,3,early,2011,203,13,65,1,66,0,0,0,9,1,10,3,0,3,3,1,4,0,0,0,83
CEE01,3,early,2011,204,14,42,1,43,12,0,12,5,3,8,3,0,3,5,0,5,0,0,0,71
CEE01,3,early,2011,205,15,38,1,39,8,1,9,7,0,7,21,4,25,3,0,3,0,0,0,83
CEE01,3,early,2011,206,16,36,3,39,5,0,5,4,0,4,2,0,2,0,0,0,0,0,0,50
CEE01,3,early,2011,207,17,66,0,66,40,0,40,2,0,2,1,0,1,8,0,8,0,0,0,117
CEE01,3,early,2011,208,18,44,2,46,0,0,0,2,0,2,10,0,10,6,0,6,0,0,0,64
CEE01,3,early,2011,209,19,22,1,23,26,0,26,3,0,3,40,0,40,13,0,13,0,0,0,105
CEE01,3,early,2011,210,20,42,0,42,42,1,43,10,0,10,9,0,9,0,0,0,0,0,0,104
CEE01,3,early,2011,301,21,59,0,59,7,0,7,12,0,12,3,0,3,0,0,0,0,0,0,81
CEE01,3,early,2011,302,22,55,1,56,23,1,24,21,0,21,4,0,4,3,0,3,0,0,0,108
CEE01,3,early,2011,303,23,56,1,57,1,0,1,14,0,14,6,0,6,7,0,7,0,0,0,85
