Datacode,Rectype,Year,Plot,Andro,Sorg,Solidago,Total,drt3,Treat
CEE01,4,2010,410,161,92.97,140.73,594.7,D-C-D,D
CEE01,4,2010,309,291.47,68.5,128.3,857.47,C-D-D,C
CEE01,4,2010,308,453.4,19.03,139.1,707.33,C-D-D,C
CEE01,4,2010,307,191.47,160.33,208.67,814.3,C-D-D,C
CEE01,4,2010,306,231.27,0,237.77,539.77,.,C
CEE01,4,2010,305,187.37,331.73,65.43,676.47,.,C
CEE01,4,2010,304,285.4,139.1,249.53,713.63,C-C-D,C
CEE01,4,2010,303,368.63,114.97,65.9,639.73,C-C-D,C
CEE01,4,2010,302,426,258.5,33.1,758.07,C-C-D,C
CEE01,4,2010,310,150.87,218.6,195.17,649.97,C-D-D,C
CEE01,4,2010,401,261.7,121.9,180.3,580.3,D-D-D,D
CEE01,4,2010,409,213.07,124.17,112.47,550.7,D-C-D,D
CEE01,4,2010,408,301.2,112.47,157.17,715.23,D-C-D,D
CEE01,4,2010,407,128.77,119.3,113.13,470.57,D-C-D,D
CEE01,4,2010,406,230.93,92.73,123.23,541.87,.,D
CEE01,4,2010,405,242.4,34.67,168,488.53,.,D
CEE01,4,2010,404,234.5,59.8,61.7,384.53,D-D-D,D
CEE01,4,2010,403,254.7,40.63,108.33,444.7,D-D-D,D
CEE01,4,2010,402,132.6,116.7,151.17,498.33,D-D-D,D
CEE01,4,2010,301,468.97,116.3,1.27,645.53,C-C-D,C
CEE01,4,2010,210,145.2,122.7,149.7,501.33,D-D-D,D
CEE01,4,2010,108,59.37,70.27,194.5,427.6,C-C-D,C
CEE01,4,2010,107,176.2,130.67,386,723.33,C-C-D,C
CEE01,4,2010,106,125.87,109.17,401.53,663.67,.,C
CEE01,4,2010,105,199.6,167.43,313.83,730.9,.,C
CEE01,4,2010,104,110.57,147.27,356.8,654.03,C-D-D,C
CEE01,4,2010,103,419.8,85.73,126.53,649.83,C-D-D,C
CEE01,4,2010,102,571.53,56.7,177.6,814.13,C-D-D,C
CEE01,4,2010,101,291.1,328.63,73.53,713.47,C-D-D,C
CEE01,4,2010,109,137.37,261.03,232.23,668.5,C-C-D,C
CEE01,4,2010,110,229.33,325.27,406.43,1039.97,C-C-D,C
CEE01,4,2010,201,328.87,52.57,194.67,621.67,D-C-D,D
CEE01,4,2010,209,253.37,202.97,159.57,640.47,D-D-D,D
CEE01,4,2010,208,489.93,34.6,151.63,726.77,D-D-D,D
CEE01,4,2010,207,382.5,187.73,62.8,653.07,D-D-D,D
CEE01,4,2010,206,214.1,73,272.63,592.87,.,D
CEE01,4,2010,205,308.4,56.6,160.73,546.67,.,D
CEE01,4,2010,204,187.23,108.87,164.33,561.1,D-C-D,D
CEE01,4,2010,203,242.53,44.93,285.9,584.33,D-C-D,D
CEE01,4,2010,202,295.77,153.9,162.3,630.9,D-C-D,D
CEE01,4,2011,309,210.07,80.83,229.53,713.63,C-D-D,C
CEE01,4,2011,308,330.23,0.8,204.4,708.22,C-D-D,C
CEE01,4,2011,307,200.5,183.93,240.73,734.27,C-D-D,C
CEE01,4,2011,306,132.4,6.43,218.23,454.4,.,C
CEE01,4,2011,305,216.9,238.7,106.27,658.12,.,C
CEE01,4,2011,304,205.8,163.87,146.35,570.85,C-C-D,C
CEE01,4,2011,303,271.03,166.1,90.2,657.1,C-C-D,C
CEE01,4,2011,302,376.9,172.33,134.83,730.7,C-C-D,C
CEE01,4,2011,310,165.4,93.67,176,492.6,C-D-D,C
CEE01,4,2011,401,92.13,43.63,137.03,284.17,D-D-D,D
CEE01,4,2011,402,20.57,13.6,22.63,174.33,D-D-D,D
CEE01,4,2011,410,74,54,60.73,237.17,D-C-D,D
CEE01,4,2011,409,64.8,27.63,27.77,178.8,D-C-D,D
CEE01,4,2011,408,129.7,61.57,57.43,306.43,D-C-D,D
CEE01,4,2011,407,59.67,47.13,33.6,206.9,D-C-D,D
CEE01,4,2011,406,76.37,40.57,24,181.63,.,D
CEE01,4,2011,405,75.73,25.53,65.2,190.58,.,D
CEE01,4,2011,404,90.27,54.4,9.33,169.63,D-D-D,D
CEE01,4,2011,403,69.87,6.47,21.93,134.93,D-D-D,D
CEE01,4,2011,301,319.97,21.6,138.87,590,C-C-D,C
CEE01,4,2011,210,115.05,20.7,126.4,273.02,D-D-D,D
CEE01,4,2011,108,32.9,72.83,175.43,321.23,C-C-D,C
CEE01,4,2011,107,87.33,183.97,258.23,570.13,C-C-D,C
CEE01,4,2011,106,132.5,28.1,384.3,558.57,.,C
CEE01,4,2011,105,172.37,60.3,260.37,539.07,.,C
CEE01,4,2011,104,71.43,104.63,500.25,684.08,C-D-D,C
CEE01,4,2011,103,172.2,118.43,162.5,477.93,C-D-D,C
CEE01,4,2011,102,279.6,2.6,167.8,466.63,C-D-D,C
CEE01,4,2011,101,195.67,46.07,106.07,406.73,C-D-D,C
CEE01,4,2011,109,201.73,233.8,236.13,689.85,C-C-D,C
CEE01,4,2011,110,74.5,109.1,115.23,373.03,C-C-D,C
CEE01,4,2011,201,122.7,38.77,38.07,220.13,D-C-D,D
CEE01,4,2011,209,108.5,169.33,57.43,339.73,D-D-D,D
CEE01,4,2011,208,191.7,20.97,7.7,249.73,D-D-D,D
CEE01,4,2011,207,123.67,95.43,16.37,285.23,D-D-D,D
CEE01,4,2011,206,115.67,99.93,92,333.53,.,D
CEE01,4,2011,205,134.73,27.53,42.77,215.87,.,D
CEE01,4,2011,204,85.73,39.97,61.7,277.77,D-C-D,D
CEE01,4,2011,203,184.67,41.23,67.47,326,D-C-D,D
CEE01,4,2011,202,119.6,34.33,45.3,207.47,D-C-D,D
CEE01,4,2012,309,227.37,86.9,171.9,644.53,C-D-D,C
CEE01,4,2012,308,252.03,19.23,128.7,585,C-D-D,C
CEE01,4,2012,307,103.6,133.03,63.2,566.63,C-D-D,C
CEE01,4,2012,306,281.3,4.9,141.17,513.97,.,C
